table_no,record_name,title,year,author_st,taxonomic_group_st,issue,latin_family_name,latin_name,danish_genus_name,danish_family_name,danish_species_epithet,copyright
2404,floradanica_2404.tif,Chamagrostis minima Borkh.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Poaceae,Mibora minima (L.) Desv.,Puslingegræs,Græsfamilien,,free
2405,floradanica_2405.tif,Viola epipsila Ledeb.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Violaceae,Viola epipsila Ledeb.,Viol,Violfamilien,Tørve-,free
2406,floradanica_2406.tif,"Heracleum Sphondyliium [alfa], australe Hartm.",1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Apiaceae,Heracleum sphondylium L.,Bjørneklo,Skærmblomstfamilien,Almindelig,free
2407,floradanica_2407.tif,Angelica littoralis Ag.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Apiaceae,Angelica archangelica L. ssp. littoralis (Fries) Thell.,Kvan,Skærmblomstfamilien,Strand-,free
2408,floradanica_2408.tif,Buplrurum rotundifolium L.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Apiaceae,Bupleurum rotundifolium L.,Hareøre,Skærmblomstfamilien,Rundbladet,free
2409,floradanica_2409.tif,Stadice Behen Drej.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Plumbaginaceae,Limonium vulgare Miller,Hindebæger,Hindebægerfamilien,Tætblomstret,free
2410,floradanica_2410.tif,Statice rariflora Drej.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Plumbaginaceae,Limonium humile Miller,Hindebæger,Hindebægerfamilien,Lav,free
2411,floradanica_2411.tif,Juncus bottnicus Wahlenb.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Juncaceae,Juncus gerardi Loisel.,Harril,Sivfamilien,,free
2412,floradanica_2412.tif,Polygonum pallidum With,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Polygonaceae,Persicaria lapathifolia (L.) S. F. Gray ssp. pallida (With) S. Ekman & Knutson,Pileurt,Skedeknæfamilien,Bleg,free
2413,floradanica_2413.tif,Rubus Radula Whe. et N. E.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Rosaceae,Rubus sp.,Brombær,Rosenfamilien,,free
2414,floradanica_2414.tif,Rubus discolor Fl. D.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Rosaceae,Rubus sp.,Brombær,Rosenfamilien,,free
2415,floradanica_2415.tif,Ranunculus acer (acris) L.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Ranunculaceae,Ranunculus acris L.,Ranunkel,Ranunkelfamilien,Bidende,free
2416,floradanica_2416.tif,Ranunculus aquatalis L.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Ranunculaceae,Ranunculus aquatilis L. ssp. aquatilis,Vandranunkel,Ranunkelfamilien,Almindelig,free
2417,floradanica_2417.tif,Draba nivalis Liljeb.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Brassicaceae,Draba nivalis Liljebl.,Draba,Korsblomstfamilien,Sne-,free
2418,floradanica_2418.tif,Draba corymbosa R. Br.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Brassicaceae,Draba bellii Holm,Draba,Korsblomstfamilien,Pude-,free
2419,floradanica_2419.tif,Draba crassifolia Grah.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Brassicaceae,Draba crassifolia R.C.Graham,Draba,Korsblomstfamilien,Tykbladet,free
2420,floradanica_2420.tif,Draba Wahlenbergii Hartm.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Brassicaceae,Draba fladnizensis Wulfen,Draba,Korsblomstfamilien,Fjeld-,free
2421,floradanica_2421.tif,Draba rupestris R. Br.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Brassicaceae,Draba norvegica Gunn.,Draba,Korsblomstfamilien,Norsk,free
2422,floradanica_2422.tif,Draba hirta L.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Brassicaceae,Draba daurica DC.,Draba,Korsblomstfamilien,Glatskulpet,free
2423,floradanica_2423.tif,Lappa tomentosa (schk.) Lam. 157),1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Asteraceae,Arctium tomentosum Miller,Burre,Kurvblomstfamilien,Filtet,free
2424,floradanica_2424.tif,Lappa major Gärtn. (Arctium majus Schk.).,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Asteraceae,Arctium lappa L.,Burre,Kurvblomstfamilien,Glat,free
2425,floradanica_2425.tif,Hieracium prenanthoides Fl. D.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Asteraceae,Hieracium sp.,Høgeurt,Kurvblomstfamilien,,free
2426,floradanica_2426.tif,Kobresia caricina Willd.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Cyperaceae,Kobresia simpliciuscula (Wbg.) Mack.,Kobresie,Halvgræsfamilien,Mose-,free
2427,floradanica_2427.tif,Elyna spicata Schrad. (Carex Bellardi All.),1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Cyperaceae,Kobresia myosuroides (Vill.) Fiori & Paol.,Kobresie,Halvgræsfamilien,Børste-,free
2428,floradanica_2428.tif,Carex holostoma Drej.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Cyperaceae,Carex holostoma Drejer,Star,Halvgræsfamilien,Gaffel-,free
2429,floradanica_2429.tif,Carex Ursina Dewey.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Cyperaceae,Carex ursina Dew.,Star,Halvgræsfamilien,Bjørne-,free
2430,floradanica_2430.tif,Carex glareosas Wahlenb.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Cyperaceae,Carex glareosa Wahlenb.,Star,Halvgræsfamilien,Grus-,free
2431,floradanica_2431.tif,Carex pedata Wahlenb.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Cyperaceae,Carex glacialis Mackenzie,Star,Halvgræsfamilien,Bræ-,free
2432,floradanica_2432.tif,Carex rariflora Sm.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Cyperaceae,Carex rariflora (Whahlenb.) Sm. in Sowerby,Star,Halvgræsfamilien,Mose-,free
2433,floradanica_2433.tif,Carex rupestris All.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Cyperaceae,Carex rupestris All.,Star,Halvgræsfamilien,Klippe-,free
2434,floradanica_2434.tif,Caerx distans L.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Cyperaceae,Carex distans L.,Star,Halvgræsfamilien,Fjernakset,free
2435,floradanica_2435.tif,Carex fiúlva Good.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Cyperaceae,Carex hostiana DC.,Star,Halvgræsfamilien,Skede-,free
2436,floradanica_2436.tif,Asplenium Filix foemina (L.) Banh.,1845,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,Woodsiaceae,Athyrium filix-femina (L.) Roth,Fjerbregne,Fjerbregnefamilien,Almindelig,free
2437,floradanica_2437.tif,Dicranum majus Turn.,1845,F. Liebmann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,,,,,,free
2438,floradanica_2438.tif,Dicranum elongatum Lbm.,1845,F. Liebmann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,,Dicranum fragilifolium Lindb. (?),,,,free
2439,floradanica_2439.tif,Hypnum delicatulum Fl. D.,1845,F. Liebmann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,,Thujidium recognitum (Hedw.) Lindb. (Thujidium delicatulum Br. et Sch.).,,,,free
2440,floradanica_2440.tif,Hypnum Schreberi Willd.,1845,F. Liebmann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,,Hylocomium parietinum (L.) Lindb.,,,,free
2441,floradanica_2441.tif,Hypnum cordifolium L.,1845,F. Liebmann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,,,,,,free
2442,floradanica_2442.tif,Hypnum abietinum L.,1845,F. Liebmann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,,Thujidium abietinum (L.) Br. et Sch.,,,,free
2443,floradanica_2443.tif,Hypnum undulatum L.,1845,F. Liebmann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,,Plagiothecium undulatum (L.) Br. et Sch.,,,,free
2444,floradanica_2444.tif,Hypnum uncinatum L.,1845,F. Liebmann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,,Harpidium uncinatum (L.).,,,,free
2445,floradanica_2445.tif,Hypnum Blandowii Web. et M.,1845,F. Liebmann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,,Thujidium abietinum (L.) Br. et Sch.,,,,free
2446,floradanica_2446.tif,Hypnum brevirostrum Ehrh.,1845,F. Liebmann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,,Hylocomium brevirostre (Ehrh.) Br. et Sch.,,,,free
2447,floradanica_2447.tif,Parmelia physodes (L.) Ach. / Parmelia physodes var. encausta / Parmelia physodes var. intestiformis,1845,F. Liebmann,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,,Parmelia encausta var. intestiniformis,,,,free
2448,floradanica_2448.tif,Parmelia melanaspis Wahlenb. / Parmelia subfusca (L.) Ach.,1845,F. Liebmann,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,,"Placodium melanaspis [alfa], stellatum (Th. Fr.).",,,,free
2449,floradanica_2449.tif,Umbilicaria pensylvanica Hffm. / Umbilicaria erosa Hffm.,1845,F. Liebmann,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,,Gyrophora erosa (Web.) Ach.,,,,free
2450,floradanica_2450.tif,Umbilicaria proboscidea v. arctica Fr.,1845,F. Liebmann,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,,Gyrophora hyperborea v. arctica (Ach.) Mudd.,,,,free
2451,floradanica_2451.tif,Usnea sphacelata R. Br. / Evernia jubata chalybeiformis / Evernia jubata chalybeiformis / Evernia jubata bicolor,1845,F. Liebmann,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,,Neuropogon melaxanthus Nyl. (Usnea melax. Ach.).,,,,free
2452,floradanica_2452.tif,Lecidea premnea Ach. / Lecidea citrinella Ach.,1845,F. Liebmann,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,,Lecidea citrinella Ach. [figura in textu commutatae.],,,,free
2453,floradanica_2453.tif,Lecidea arctica Smrf. / Lecidea squalida Ach.,1845,F. Liebmann,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,,Toninia squalida (Ach.) Mass.,,,,free
2454,floradanica_2454.tif,Lecidea candida Ach. / Lecidea Morio Lbm.,1845,F. Liebmann,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,,Thalloidima candidum (Web.) Ach.,,,,free
2455,floradanica_2455.tif,Chordaria divaricata Ag.,1845,F. Liebmann,Alger,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,,Castagnea divaricata (Ag.) J. Ag.,,,,free
2456,floradanica_2456.tif,"Dasya coccinea [beta], tenuis J. Ag.",1845,F. Liebmann,Alger,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,,,,,,free
2457,floradanica_2457.tif,"Gastridium filiforme [beta], intestiniformis Lbm.",1845,F. Liebmann,Alger,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,,Dumontia filiformis var. crispata (Grev.) J. Ag.,,,,free
2458,floradanica_2458.tif,Polysiphonia pulvinata Ag.,1845,F. Liebmann,Alger,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,,Polysiphonia hemisphaerica Aresch.?,,,,free
2459,floradanica_2459.tif,Elachista globosa Ørst. / Elachista neglecta Lbm.,1845,F. Liebmann,Alger,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,,Elachista fucicola (Velley) Fr. forma,,,,free
2460,floradanica_2460.tif,Zonarina Liebmanni Ørst. / Nostoc aestuarii Lbm.,1845,F. Liebmann,Alger,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 41,,Ralfsia verrucosa Aresch.,,,,free
2461,floradanica_2461.tif,Aira Wibeliana Sond. 159),1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Poaceae,Deschampsia cespitosa (L.) Beauv. ssp. paludosa (Schübler & Martens) G. C. S. Clarke,Bunke,Græsfamilien,Elb-,free
2462,floradanica_2462.tif,Festuca ovina L.,1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Poaceae,Festuca ovina L.,Svingel,Græsfamilien,Fåre-,free
2463,floradanica_2463.tif,Festuca arundinacea Schreb.,1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Poaceae,Festuca arundinacea Schreber,Svingel,Græsfamilien,Strand-,free
2464,floradanica_2464.tif,Phragmites communis Trin.,1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Poaceae,Phragmites australis (Cav.) Trin. ex Steudel,Tagrør,Græsfamilien,,free
2465,floradanica_2465.tif,Glyceria plicata Fr.,1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Poaceae,Glyceria plicata (Fries) Fries,Sødgræs,Græsfamilien,Butblomstret,free
2466,floradanica_2466.tif,Atriplex nitens Rebent.,1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Chenopodiaceae,Atriplex nitens Schkuhr.,Mælde,Salturtfamilien,Glans-,free
2467,floradanica_2467.tif,Luzula albida (Hffm.) DC.,1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Juncaceae,Luzula luzuloides (Lam.) Dandy& Wilmott,Frytle,Sivfamilien,Bleg,free
2468,floradanica_2468.tif,Juncus tenuis Willd.,1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Juncaceae,Juncus tenuis Willd.,Siv,Sivfamilien,Tue-,free
2469,floradanica_2469.tif,Vaccinium uliginosum var. macrocarpa Drej.,1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Ericaceae,Vaccinium uliginosum L. ssp. uliginosum,Mosebølle,Lyngfamilien,Almindelig,free
2470,floradanica_2470.tif,Silene noctiflora L.,1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Caryophyllaceae,Silene noctiflora L.,Limurt,Nellikefamilien,Nat-,free
2471,floradanica_2471.tif,Agrimonia odorata Mill.,1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Rosaceae,Agrimonia procera Wallr.,Agermåne,Rosenfamilien,Vellugtende,free
2472,floradanica_2472.tif,Fumaria micranrha Lag.,1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Fumariaceae,Fumaria densiflora,Jordrøg,Jordrøgfamilien,Tætblomstret,free
2473,floradanica_2473.tif,Fumaria muralis Sond.,1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Fumariaceae,Fumaria muralis Sonder ex Koch,Jordrøg,Jordrøgfamilien,Bredbladet,free
2474,floradanica_2474.tif,"Gnaphalium uliginosum [gamma], glabrum Koch.",1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Asteraceae,Gnaphalium uliginosum L.,Evighedsblomst,Kurvblomstfamilien,Sump-,free
2475,floradanica_2475.tif,Aster salignus Willd.,1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Asteraceae,Aster x salignus Willd.,Asters,Kurvblomstfamilien,Pilebladet,free
2476,floradanica_2476.tif,Orchis incarnatus L. Fr.,1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Orchidaceae,Dactylorhiza incarnata (L.) Soó ssp. incarnata,Gøgeurt,Gøgeurtfamilien,Kødfarvet,free
2477,floradanica_2477.tif,Carex stans Drej.,1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Cyperaceae,Carex aquatilis Wahlenb. ssp. stans (Drejer) Hultén,Star,Halvgræsfamilien,Tundra-,free
2478,floradanica_2478.tif,Carex vulagris Fr.,1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Cyperaceae,Carex nigra (L.) Reichard,Star,Halvgræsfamilien,Almindelig,free
2479,floradanica_2479.tif,"Carex rigida [beta], infuscata Drej.",1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Cyperaceae,Carex bigelowii Torr.  ssp. nardeticola Holub,Star,Halvgræsfamilien,Rank,free
2480,floradanica_2480.tif,"Carex rigida Good. [gamma], lutosa Drej.",1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Cyperaceae,Carex bigelowii Torr.  ssp. nardeticola Holub,Star,Halvgræsfamilien,Rank,free
2481,floradanica_2481.tif,Carex rufina Drej.,1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Cyperaceae,Carex rufina Drej.,Star,Halvgræsfamilien,Rust-,free
2482,floradanica_2482.tif,Carex hyperborea Drej.,1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Cyperaceae,Carex bigelowii Torr. ssp. bigelowii,Star,Halvgræsfamilien,Slank,free
2483,floradanica_2483.tif,"Carex hyperborea [beta], paradoxa Drej.",1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Cyperaceae,Carex sp.,Star,Halvgræsfamilien,,free
2484,floradanica_2484.tif,Salix fragilis L.,1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Salicaceae,Salix fragilis L.,Skørpil,Pilefamilien,,free
2485,floradanica_2485.tif,Salix viminalis L.,1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Salicaceae,Salix viminalis L.,Pil,Pilefamilien,Bånd-,free
2486,floradanica_2486.tif,Salix viridis Fr.,1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Salicaceae,Salix alba x fragilis,Pil,Pilefamilien,Grøn,free
2487,floradanica_2487.tif,Salix cuspidata Schultz. [masculinum],1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Salicaceae,Salix fragilis x pentandra,Pil,Pilefamilien,Glans-,free
2488,floradanica_2488.tif,Salix arctica Fl. D. / Salix arctica Fl. D.,1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Salicaceae,Salix arctica Pallas,Pil,Pilefamilien,Arktisk,free
2489,floradanica_2489.tif,Salix repens L.,1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Salicaceae,Salix repens L. ssp. repens,Pil,Pilefamilien,Krybende,free
2490,floradanica_2490.tif,Equisteum spuridum Hedw.,1849,F. Liebmann,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,Equisetaceae,Equisetum variegatum Schleicher,Padderok,Padderokfamilien,Liden,free
2491,floradanica_2491.tif,Dicranum spurium Hedw.,1849,F. Liebmann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,,,Kløvtand,,Hede-,free
2492,floradanica_2492.tif,Dicranum crispum Hedw. / Dicranum longifolium Ehrh.,1849,F. Liebmann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,,Dicranella vaginalis (Dicks.) Lindb. 162),,,,free
2493,floradanica_2493.tif,Orthotrichum speciosum Fl. D. / Orthotrichum Lyellii Hook. et Tayl.,1849,F. Liebmann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,,Orthotrichum affine Schad.,,,,free
2494,floradanica_2494.tif,"Orthotrichum diaphanum Schrad. / Orthotrichum cupulatum [gamma], riparium",1849,F. Liebmann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,,"Orthotrichum cupulatum [gamma], nudum (Dicks.) Lindb.",,,,free
2495,floradanica_2495.tif,Pottia truncata Hedw. / Tortula ruralis Hedw. 163),1849,F. Liebmann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,,Pottia truncatula (L.) Lindb.,,,,free
2496,floradanica_2496.tif,Grimmia pulvinata (L.) Sm. / Grimmia maritima Turn.,1849,F. Liebmann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,,,,,,free
2497,floradanica_2497.tif,Rhacomitrium fasciculare Brid. / Racomitrium canescens Fl. D.,1849,F. Liebmann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,,Rhacumitrium ericoides (Web.) Brid.,,,,free
2498,floradanica_2498.tif,Weissia curvirostra Fl. D.,1849,F. Liebmann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,,Trichostonum rubellum (Web.) Rab.,,,,free
2499,floradanica_2499.tif,Hypnum commutatum Fl. D.,1849,F. Liebmann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,,Hypnum filicinum L. var.,,,,free
2500,floradanica_2500.tif,Hypnum stellatum Schreb.,1849,F. Liebmann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,,Campylium stellatum (Schreb.).,,,,free
2501,floradanica_2501.tif,Hyonum cuspidatum L.,1849,F. Liebmann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,,,,,,free
2502,floradanica_2502.tif,Hypnum Crista castrensis L.,1849,F. Liebmann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,,Ptilium Crista castrensis (L.) de Not.,,,,free
2503,floradanica_2503.tif,Hypnum molluscum Hedw.,1849,F. Liebmann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,,Ctenidium molluscum (Hedw.) Mitt.,,,,free
2504,floradanica_2504.tif,Hypnum sylvaticum L.,1849,F. Liebmann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,,Plagiothecium silvaticum (Huds.) Br. et Sch.,,,,free
2505,floradanica_2505.tif,Bryum pseudotriquetrum Fl. D.,1849,F. Liebmann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,,Bryum bimum Schreb.,,,,free
2506,floradanica_2506.tif,Hypnum scorpioides L. 164) / Bryum alpinum L.,1849,F. Liebmann,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,,,,,,free
2507,floradanica_2507.tif,Parmelia caesis Hffm. / Ramalina polymorpha Fl. D.,1849,F. Liebmann,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,,Physica caesia (L.) Nyl.,,,,free
2508,floradanica_2508.tif,Biatora aurantica Lightf. / Biatora vernalis (L.) Fr.,1849,F. Liebmann,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,,Caloplaca aurantica (Lightf.) Th. Fr.,,,,free
2509,floradanica_2509.tif,Parmelia Acetabulum Neck. / Parmelia aquila Ach.,1849,F. Liebmann,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,,Physica aquila (Ach.) Nyl.,,,,free
2510,floradanica_2510.tif,"Parmelia stygia [beta], lanata Fr.",1849,F. Liebmann,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft. 42,,Parmelia lanata (L.) Wallr.,,,,free
